#name run1 run2 run3 run4 number_of_runs
name 1260.33 122.22 20.33 4.11 4
name_rel 1269 132.1 5.9 0 3
name_rel_stack 1407 0 0 0 1
name_stack 1384.4 18.7 0 0 2
name_stack_rel 1407 0 0 0 1
rel 888.3 365 153.7 0 3
rel_name 1269 125.4 12.6 0 3
rel_name_stack 1407 0 0 0 1
rel_stack 1197.875 207.75 1.375 0 3
rel_stack_name 1407 0 0 0 1
stack 1200.1 195.2 11.7 0 3
stack_name 1389.4 17.6 0 0 2
stack_name_rel 1407 0 0 0 1
stack_rel 1202.5 202.5 2 0 3
stack_rel_name 1407 0 0 0 1
user 1091.8 296.7 18.5 0 3
noreqs 797.6 454.0 135.8 18.3 4
